part_id_cylinder_bottom;part_id_piston_rod;rework;pressure
103504;200102;n;9699.5
124704;200103;n;11633.167
124403;200104;n;8755.167
124301;200201;n;10119
124103;200202;n;12576.667
124202;200203;n;12554.833
124302;200204;n;9482.333
124303;200301;n;8583
124702;200302;n;9534
124804;200303;n;13527.5
104002;200304;n;12446
124104;200401;n;13401.5
103901;200402;n;8839.667
124003;200403;n;13456
103601;200404;n;8813.333
104004;200501;n;9490.833
103701;200502;n;9719.167
124601;200503;n;13565.833
124501;200504;n;12686.667
104103;200601;n;9603.833
124604;200602;n;12986.667
109501;200603;n;12799.167
124602;200604;n;13450.167
124204;200701;n;13460.667
124603;200702;n;13400.5
124004;200703;n;13313.833
124401;200704;n;13716.833
124101;200801;n;13328.333
124002;200802;n;13614.167
124701;200803;n;13521
124102;200804;n;13675.333
124703;200901;n;13527.833
124201;200902;n;12919.667
112601;200903;n;13247.833
124502;200904;n;13764
112504;201001;n;13190
124503;201002;n;13407.5
109001;201003;n;13628.667
124504;201004;n;13070.167
111404;201101;n;11937.5
112902;201102;n;13475
111802;201103;n;8213.167
110803;201104;n;8791.167
111002;201201;n;12793.833
112603;201202;n;13240.833
110402;201301;n;13062.667
111203;201302;n;13457.167
112602;201303;n;7461.167
113303;201304;n;13098.833
112502;201401;n;13222
113401;201402;n;13017
110301;201403;n;8753.667
109203;201404;n;7799.667
124801;201501;n;12950
110902;201502;n;13185.167
109303;201503;n;12913.667
111001;201504;n;13103.5
114501;201601;n;13036
114402;201602;n;8221.167
113003;201603;n;8636
111701;201604;n;12677.5
113002;201701;n;12501.5
110303;201702;n;12032.333
111801;201703;n;13004.667
113301;201704;n;12842.333
110603;201801;n;8884.667
111703;201802;n;13055.667
110703;201803;n;12916.5
113404;201804;n;12516
113304;201901;n;13015.667
110401;201902;n;13366
113704;201903;n;12745.167
109504;201904;n;13781.167
113402;202001;n;12636
112003;202002;n;12714.833
115501;202003;n;6623.667
124402;202004;n;13548.167
112702;202101;n;13332.667
109503;202102;n;13023.833
109102;202103;n;13664.167
122601;202104;n;12748.167
112604;202201;n;13214.167
110503;202202;n;12721.167
113201;202203;n;11885.667
109002;202204;n;13772
110504;202301;n;13336.833
110403;202302;n;12813.5
111704;202303;n;13711
112503;202304;n;13397
112703;202401;n;12928.167
112701;202402;n;13673.333
109003;202403;n;12248.167
114902;202404;n;12825.667
110903;202501;n;13537.667
109103;202502;n;12413.833
110604;202503;n;12984
114001;202504;n;13082.5
110602;202601;n;13479
110901;202602;n;13088
110702;202603;n;13403.833
114404;202604;n;13236.667
109202;202701;n;9043.833
114803;202702;n;13706.167
109401;202703;n;13128
110701;202801;n;13288.5
111602;202803;n;12929
112802;202804;n;13180.833
109402;202901;n;13399.833
109301;202902;n;13385
110601;202903;n;6727.167
110801;203001;n;12763.667
112901;203002;n;13344
113204;203003;n;7845.167
110802;203004;n;13385.667
111003;203101;n;13201
113602;203102;n;12945.167
109204;203103;n;13244.333
113504;203104;n;12593.333
114903;203202;n;12716
110804;203204;n;13161.833
109201;203301;n;13237.833
115104;203302;n;13043.167
110304;203303;n;12117.333
111902;203304;n;13182.5
110704;203401;n;13057.333
114804;203402;n;13419.5
109104;203403;n;11294.333
111903;203404;n;13134.667
112004;203501;n;12616.667
113202;203502;n;13370.833
114704;203503;n;13124.333
112002;203504;n;13416.333
109101;203601;n;13947
109302;203602;n;10715.667
110302;203603;n;12629.5
109304;203604;n;12787.167
112903;203701;n;12856.167
111803;203702;n;12933.333
109404;203703;n;13090.667
109502;203704;n;13182.667
112801;203801;n;11989
111901;203802;n;11147.5
113104;203803;n;13016.833
112001;203804;n;7072.167
113001;203901;n;6448.667
113102;203902;n;6234.5
112904;203903;n;7637.333
112803;203904;n;10063.833
112804;204001;n;11296.167
109403;204002;n;12908.667
113103;204003;n;6959
113502;204004;n;13427
114503;204101;n;13206.333
113603;204102;n;13426
113904;204103;n;13221.833
114101;204104;n;13271.5
115304;204202;n;13223.5
113302;204203;n;12604.833
113403;204204;n;12664.333
113701;204301;n;13228
114102;204302;n;13085.833
110502;204303;n;12896.667
115204;204304;n;13124.333
113503;204401;n;13302.667
115403;204402;n;12893.333
115301;204403;n;12912.833
113804;204404;n;12531.833
114103;204501;n;12777.167
113903;204502;n;12952.333
115002;204503;n;12620
115401;204504;n;12759.833
113901;204601;n;13051.833
113802;204602;n;13209.5
121203;204603;n;12934.167
122801;204604;n;12812.167
113604;204702;n;12370.833
114604;204703;n;12450.667
111904;204704;n;10867.833
115103;204801;n;13353.333
115303;204802;n;13006.5
121602;204803;n;12746.333
110404;204804;n;12152.667
115302;204901;n;13000
113702;204903;n;13243.333
115402;204904;n;13380.833
114703;205001;n;12750.167
115101;205002;n;12028.167
115102;205003;n;13102.167
113803;205004;n;13142
122401;205101;n;13269
114302;205102;n;13404.833
121403;205103;n;13034
119701;205201;n;12702.5
121501;205202;n;13106.333
119402;205203;n;12806.333
121302;205204;n;13147.167
121402;205301;n;13300.333
119401;205303;n;12454.5
121003;205304;n;13212.167
120604;205401;n;12503.333
115203;205402;n;12729.5
120603;205403;n;12786.333
121002;205404;n;12958.667
121301;205501;n;13088.167
114204;205502;n;12884.333
119802;205503;n;12235
114201;205504;n;12609.833
113902;205602;n;12926
121102;205603;n;12915.833
115004;205604;n;11184.833
121603;205701;n;13095.5
114004;205702;n;12223.167
114304;205703;n;12517.667
110501;205704;n;12971.167
122701;205801;n;13270.667
114401;205802;n;12938.167
121604;205803;n;12856.833
113801;205804;n;13131.667
114202;205901;n;12271.333
114303;205902;n;12987.667
119302;205903;n;13105.167
113501;205904;n;13131.5
103903;206002;n;12768.833
114301;206004;n;12535
120901;206102;n;13225.667
120101;206103;n;13145.833
120401;206104;n;13029
118903;206201;n;12867.333
119602;206202;n;13021.5
120703;206203;n;12296
121802;206204;n;12618.5
118902;206301;n;12508.5
119601;206302;n;12337
120601;206303;n;12242.333
121601;206304;n;13215.667
121502;206401;n;12518.667
120702;206402;n;12198.833
118501;206403;n;13000
121202;206404;n;13287.5
120602;206501;n;12816
118901;206502;n;12813.167
118603;206503;n;12967
122001;206504;n;12527
120201;206602;n;12829.667
121304;206603;n;12121.333
114104;206604;n;12381.667
121701;206701;n;12303.333
121404;206702;n;13374.5
122301;206703;n;13088.5
114002;206704;n;13411
121201;206801;n;13234.667
119301;206802;n;13373.333
121204;206803;n;13101
114003;206804;n;13308.333
121801;206901;n;13116.167
121401;206902;n;12848.5
115202;206903;n;12637.833
121303;206904;n;13337.167
122201;207001;n;12816
114203;207002;n;12212.667
122501;207003;n;13297.5
115201;207004;n;12928.5
121104;207101;n;13081.5
121103;207103;n;12825.167
118804;207201;n;12697.167
118904;207202;n;12933.167
120903;207203;n;13099
121504;207204;n;13119
118803;207301;n;12901
120502;207303;n;11098
121001;207401;n;12597.333
118604;207403;n;12566.833
118502;207502;n;12902.667
119702;207503;n;12929.833
119502;207504;n;13015.667
120501;207601;n;12713.667
121101;207602;n;13008.167
120701;207603;n;12381.333
120001;207701;n;12511.333
119501;207702;n;12203.333
121901;207703;n;12867.333
120803;207704;n;12439.5
119203;207801;n;12784.5
120504;207802;n;12551.667
118801;207803;n;12979.333
122101;207804;n;12148.167
118602;207901;n;12720
120802;207902;n;11773
123301;207903;n;11655.167
120904;207904;n;12560.833
123002;208001;n;11748
123303;208003;n;12372.333
121702;208004;n;12808.333
119102;208101;n;12471.5
118702;208103;n;12669.333
120804;208201;n;12590
120902;208202;n;12826.667
121004;208203;n;12981.667
120801;208204;n;12284.5
121704;208401;n;10187.167
119804;208403;n;9991
119403;208502;n;7205.5
121902;208503;n;8260.5
102301;208602;n;11536.333
108202;208603;n;10160
115604;208801;n;10229.167
119904;208802;n;10288.833
119604;208803;n;10353
120404;208901;n;10389.333
107804;208902;n;10215
102701;208903;n;10126.833
122202;209001;n;10108.5
102902;209004;y;9265.167
120003;209101;n;10014.833
106902;209103;y;10747.833
107101;209201;y;9926
107102;209203;y;10049
119304;209204;n;9804
102602;209301;n;10371.667
122102;209302;n;10240.5
119303;209303;n;10643
115504;209304;n;10249.5
120304;209401;n;10549.667
120303;209402;n;9683.333
121803;209403;n;9992
115502;209501;n;10478.5
102101;209503;n;10452.167
115602;209504;n;9985.5
120204;209601;n;10423.333
107802;209602;n;10975
120302;209603;n;10538
120402;209604;y;10593.167
120203;209701;n;10171
107803;209702;n;10203
122002;209703;n;10342
119903;209704;y;11227.667
108102;209801;n;10303
120004;209802;n;9755.667
102801;209803;n;10195.167
108001;209804;n;9258.833
108201;209901;n;11083.5
121804;209902;n;9360.5
102803;209903;y;7775.667
120202;209904;n;9756.167
102903;210001;y;8520.167
103002;210002;n;9923.167
119504;210003;y;9913.667
120104;210004;n;9788.5
102403;210101;n;10702.5
102104;210102;y;10382.167
102303;210103;y;10572.167
102703;210104;n;7205.333
120103;210201;y;6273.833
102204;210202;y;10944.333
102404;210203;y;9071.5
102202;210204;y;9606.833
102102;210301;y;10733.167
107801;210302;n;10341.333
108004;210303;n;11678.333
107302;210304;y;10567.5
107903;210401;n;9545.333
104503;210402;n;9748.333
119603;210403;n;10047.167
107401;210404;y;7350.833
102804;210501;n;9674.167
100201;210502;y;10012
120102;210503;n;11218
107103;210504;y;8809.5
108002;210601;n;10366.167
107703;210602;n;9868.667
107902;210603;n;10103.5
