part_id;surface_roughness;parallelism;groove_depth;groove_diameter
100101;1.821;0.02;0.803;-0.0335
100102;1.802;0.037;0.808;-0.03
100103;1.995;0.0245;0.8;-0.031
100104;1.691;0.0185;0.791;-0.0135
100201;1.605;0.021;0.808;-0.0285
100202;1.506;0.0195;0.808;-0.0295
100203;1.305;0.0295;0.808;-0.029
100204;1.468;0.0335;0.792;-0.027
100301;1.217;0.0245;0.807;-0.029
100302;1.2;0.0235;0.807;-0.028
100303;1.234;0.016;0.799;-0.0255
100304;1.215;0.0225;0.804;-0.028
100401;1.237;0.0285;0.799;-0.0275
100402;1.234;0.03;0.804;-0.031
100403;1.285;0.0495;0.805;-0.0305
100404;1.317;0.037;0.808;-0.0275
100501;1.371;0.033;0.801;-0.026
100502;1.46;0.0245;0.807;-0.0295
100503;1.747;0.232;0.799;-0.035
100504;2.123;0.0555;0.8;-0.037
100601;1.681;0.1155;0.805;-0.0405
100602;2.216;0.0355;0.789;-0.038
100603;2.338;0.0695;0.792;-0.0355
100604;2.157;0.0995;0.798;-0.036
100701;2.554;0.0245;0.788;-0.037
100702;2.185;0.024;0.793;-0.036
100703;2.09;0.0305;0.797;-0.04
100704;1.878;0.114;0.789;-0.04
100801;2.032;0.0575;0.786;-0.0295
100802;1.607;0.0375;0.795;-0.038
100803;1.865;0.0325;0.79;-0.0285
100804;2.01;0.0405;0.802;-0.03
100901;1.614;0.049;0.798;-0.031
100902;1.734;0.0235;0.79;-0.032
100903;1.87;0.0415;0.789;-0.0315
100904;1.703;0.03;0.79;-0.0275
101001;1.609;0.0275;0.793;-0.032
101002;1.956;0.026;0.788;-0.0295
101003;1.588;0.0245;0.794;-0.0275
101004;1.678;0.043;0.791;-0.0275
101101;3.014;0.021;0.813;-0.1045
101103;3.13;0.0185;0.844;0.8155
101104;2.854;0.0245;0.896;0.289
101201;3.015;0.02;0.804;-0.0395
101202;2.837;0.024;0.801;-0.0395
101203;3.023;0.0185;0.789;-0.0405
101204;2.871;0.032;0.801;-0.0405
101301;3.03;0.0185;0.802;-0.037
101302;2.894;0.0185;0.799;-0.04
101303;2.761;0.0215;0.791;-0.0405
101304;2.715;0.0155;0.797;-0.036
101401;2.756;0.018;0.798;-0.04
101402;2.705;0.02;0.792;-0.0385
101403;2.546;0.0325;0.798;-0.0385
101404;2.591;0.036;0.803;-0.031
101501;2.253;0.045;0.8;-0.033
101502;2.277;0.023;0.795;-0.032
101503;2.301;0.024;0.798;-0.0305
101504;2.262;0.0295;0.801;-0.032
101601;2.241;0.0305;0.8;-0.0325
101602;2.357;0.018;0.795;-0.031
101603;2.138;0.0185;0.798;-0.032
101604;1.641;0.02;0.804;-0.0325
101701;1.98;0.04;0.799;-0.0325
101702;1.948;0.0195;0.799;-0.033
101703;2.171;0.033;0.804;-0.032
101704;1.6;0.02;0.799;-0.033
101801;1.466;0.0265;0.796;-0.033
101802;1.796;0.02;0.792;-0.0315
101803;1.908;0.042;0.796;-0.031
101804;1.614;0.023;0.796;-0.032
101901;1.408;0.048;0.801;-0.033
101902;1.38;0.0425;0.801;-0.0315
101903;1.527;0.0325;0.8;-0.0315
101904;1.715;0.0185;0.797;-0.031
102001;1.522;0.018;0.798;-0.033
102002;1.489;0.0775;0.793;-0.031
102003;1.52;0.0265;0.794;-0.0335
102004;1.773;0.037;0.796;-0.033
102101;1.992;0.0305;0.78;-0.0275
102102;1.284;0.037;0.778;-0.0275
102103;1.684;0.0435;0.784;-0.029
102104;1.539;0.038;0.785;-0.0285
102201;2.312;0.031;0.781;-0.028
102202;1.701;0.0315;0.784;-0.0285
102203;1.921;0.043;0.782;-0.03
102204;1.419;0.058;0.782;-0.0315
102301;1.844;0.039;0.789;-0.0315
102302;2.018;0.0325;0.788;-0.0285
102303;2.118;0.0295;0.782;-0.0275
102304;2.091;0.0325;0.784;-0.024
102401;2.081;0.021;0.786;-0.0295
102402;2.044;0.0245;0.788;-0.029
102403;1.626;0.0215;0.791;-0.029
102404;1.622;0.03;0.781;-0.0265
102501;2.087;0.02;0.79;-0.029
102601;2.034;0.024;0.789;-0.0285
102602;2.044;0.023;0.788;-0.0275
102603;2.152;0.0205;0.784;-0.028
102604;2.045;0.038;0.787;-0.0285
102701;2.036;0.0235;0.792;-0.035
102702;2.11;0.0475;0.793;-0.0355
102703;2.321;0.0255;0.792;-0.0355
102704;1.926;0.036;0.787;-0.0295
102801;2.042;0.023;0.791;-0.0325
102802;1.835;0.0595;0.798;-0.0345
102803;2.015;0.021;0.792;-0.035
102804;2.002;0.0245;0.791;-0.0315
102901;1.651;0.0275;0.79;-0.032
102902;1.92;0.028;0.792;-0.034
102903;1.944;0.0185;0.787;-0.0335
102904;1.636;0.0455;0.793;-0.034
103001;2.134;0.0245;0.793;-0.0305
103002;2.066;0.0605;0.789;-0.0365
103003;2.14;0.0275;0.797;-0.0345
103004;2.266;0.018;0.792;-0.032
103101;2.15;0.019;0.796;-0.032
103102;2.004;0.026;0.798;-0.0315
103103;2.249;0.0515;0.78;-0.033
103201;1.826;0.022;0.789;-0.0335
103202;2.067;0.0225;0.791;-0.0395
103203;1.894;0.064;0.789;-0.038
103204;2.257;0.048;0.788;-0.044
103301;2.025;0.027;0.788;-0.0375
103302;2.495;0.023;0.791;-0.0375
103303;2.453;0.026;0.785;-0.0385
103502;2.248;0.023;0.794;-0.0335
103503;2.325;0.04;0.8;-0.0365
103504;2.364;0.0335;0.804;-0.036
103601;2.168;0.0895;0.794;-0.037
103604;2.393;0.079;0.788;-0.036
103701;2.018;0.062;0.802;-0.037
103702;1.928;0.0445;0.8;-0.0385
103703;1.826;0.038;0.806;-0.0385
103704;1.931;0.025;0.796;-0.038
103801;1.803;0.0295;0.802;-0.0295
103802;1.962;0.0365;0.805;-0.0385
103803;1.708;0.024;0.801;-0.0405
103804;1.872;0.022;0.798;-0.033
103901;1.964;0.0625;0.8;-0.038
103902;1.65;0.0595;0.804;-0.0405
103903;1.84;0.022;0.801;-0.0385
103904;1.922;0.0195;0.798;-0.0345
104001;1.718;0.019;0.798;-0.0375
104002;1.927;0.031;0.798;-0.0395
104003;1.761;0.032;0.798;-0.032
104004;2.204;0.03;0.802;-0.036
104101;1.754;0.0405;0.791;-0.035
104102;1.965;0.0635;0.804;-0.036
104103;1.731;0.0165;0.802;-0.0375
104104;1.635;0.048;0.795;-0.0375
104201;1.918;0.0425;0.799;-0.039
104202;1.732;0.0275;0.799;-0.0365
104203;1.767;0.041;0.793;-0.038
104204;1.825;0.0525;0.79;-0.037
104301;1.583;0.065;0.798;-0.0255
104302;1.823;0.024;0.802;-0.0295
104303;1.518;0.019;0.802;-0.029
104304;1.52;0.035;0.801;-0.0305
104401;1.795;0.0255;0.81;-0.0275
104402;1.505;0.0125;0.809;-0.0275
104403;1.542;0.016;0.806;-0.0295
104404;1.516;0.015;0.804;-0.028
104501;1.514;0.021;0.803;-0.029
104502;1.86;0.026;0.806;-0.0315
104503;1.663;0.042;0.794;-0.023
104504;1.842;0.062;0.8;-0.026
104601;1.623;0.0315;0.801;-0.0295
104602;1.552;0.034;0.792;-0.0275
104603;1.578;0.0255;0.802;-0.039
104604;1.654;0.0395;0.806;-0.0415
104701;1.495;0.035;0.802;-0.04
104702;1.699;0.0215;0.798;-0.0335
104703;1.444;0.0185;0.796;-0.0345
104704;1.843;0.0295;0.806;-0.037
104801;1.709;0.015;0.782;-0.013
104802;1.82;0.0395;0.791;-0.0355
104803;1.393;0.032;0.789;-0.0395
104804;1.516;0.0175;0.795;-0.036
104901;1.712;0.038;0.798;-0.032
104902;1.744;0.015;0.793;-0.034
104903;2.078;0.02;0.793;-0.0325
104904;1.685;0.016;0.791;-0.033
105001;1.683;0.021;0.788;-0.029
105002;1.506;0.0185;0.789;-0.029
105003;1.619;0.025;0.797;-0.0325
105004;1.868;0.0205;0.788;-0.033
105101;1.807;0.014;0.795;-0.0345
105102;1.654;0.029;0.788;-0.0325
105103;1.756;0.0325;0.788;-0.0315
105104;2.488;0.0285;0.792;-0.0335
105201;1.803;0.021;0.792;-0.029
105202;1.659;0.04;0.785;-0.03
105203;1.758;0.0295;0.791;-0.0345
105204;2.184;0.0745;0.79;-0.032
105301;1.685;0.047;0.794;-0.033
105302;1.711;0.041;0.795;-0.0305
105303;1.549;0.041;0.788;-0.042
105304;1.856;0.028;0.79;-0.0305
105401;1.71;0.0315;0.797;-0.0385
105402;1.661;0.0235;0.797;-0.0305
105403;1.677;0.025;0.794;-0.035
105404;1.747;0.022;0.797;-0.0355
105501;2.014;0.0335;0.796;-0.037
105502;1.666;0.0435;0.788;-0.032
105503;1.718;0.038;0.789;-0.04
105504;1.717;0.027;0.792;-0.0335
105601;1.819;0.0215;0.798;-0.021
105602;1.737;0.0205;0.8;-0.032
105603;1.695;0.0155;0.793;-0.0345
105604;1.684;0.0185;0.795;-0.031
105701;1.699;0.0305;0.792;-0.034
105702;1.59;0.0215;0.792;-0.0355
105703;1.882;0.0235;0.79;-0.0355
105704;1.663;0.028;0.789;-0.035
105801;1.609;0.0315;0.796;-0.04
105802;1.888;0.0335;0.775;-0.04
105803;1.872;0.0245;0.784;-0.0405
105901;1.928;0.0235;0.798;-0.025
105902;1.346;0.035;0.788;-0.0425
105903;1.944;0.0305;0.779;-0.039
106001;1.532;0.083;0.789;-0.0305
106002;1.771;0.0325;0.79;-0.0385
106003;1.776;0.0265;0.783;-0.0445
106101;1.926;0.048;0.79;-0.035
106102;1.496;0.06;0.8;-0.038
106103;1.677;0.0215;0.783;-0.0405
106104;1.975;0.03;0.784;-0.0435
106201;1.785;0.05;0.789;-0.037
106202;1.502;0.0425;0.8;-0.042
106203;1.791;0.029;0.783;-0.0395
106204;1.764;0.0325;0.787;-0.041
106301;1.406;0.0195;0.803;-0.0315
106302;1.623;0.0295;0.804;-0.0305
106303;1.673;0.02;0.812;-0.031
106304;1.975;0.0245;0.807;-0.029
106401;1.678;0.0215;0.802;-0.0305
106402;1.482;0.0215;0.801;-0.032
106403;1.509;0.015;0.801;-0.0315
106404;1.51;0.019;0.803;-0.029
106501;1.806;0.0385;0.787;-0.153
106502;1.55;0.036;0.8;-0.032
106503;1.729;0.0255;0.806;-0.0345
106504;1.606;0.026;0.796;-0.061
106601;1.399;0.0365;0.803;-0.0475
106602;1.543;0.027;0.807;-0.0525
106603;1.676;0.025;0.89;-0.3675
106604;1.922;0.0345;0.8;-0.0355
106702;1.978;0.0355;0.803;-0.0375
106703;1.719;0.04;0.802;-0.034
106704;1.533;0.0445;0.799;-0.034
106801;1.84;0.0295;0.799;-0.032
106802;1.76;0.022;0.8;-0.0285
106803;1.817;0.0205;0.8;-0.0325
106804;1.921;0.021;0.798;-0.0325
106901;1.907;0.0155;0.794;-0.0315
106902;1.907;0.0185;0.801;-0.0365
106903;1.911;0.0805;0.796;-0.033
106904;1.714;0.0635;0.808;-0.0335
107001;1.682;0.063;0.804;-0.024
107002;1.739;0.0235;0.802;-0.033
107003;1.821;0.0315;0.796;-0.032
107004;1.651;0.0325;0.806;-0.0325
107101;1.795;0.021;0.807;-0.033
107102;1.723;0.1085;0.836;-0.032
107103;1.962;0.044;0.81;-0.03
