part_id;coaxiality;diameter;length
211203;31.1;0.007;163.644
211201;17.1;0.004;163.643
211302;40.1;-0.003;163.7
211301;17.4;0.008;163.631
211103;48.1;-0.007;163.629
211101;96.7;-0.007;163.713
211003;32.2;0.007;163.644
211001;54.9;0.013;163.698
210903;21.7;0.006;163.645
210901;31.9;0.005;163.647
210804;43.7;0.003;163.638
211204;11.1;0.005;163.685
211202;23;-0.001;163.732
210803;32.9;0.002;163.705
210902;9.64;0.009;163.632
210904;46.4;0.007;163.677
211002;40;0.008;163.622
211104;48.6;-0.005;163.685
211004;33.7;0.006;163.623
211102;44.2;-0.015;163.6
211401;18.5;-0.007;163.609
211403;52.4;-0.009;163.607
211501;38.6;0.014;163.602
211303;24.3;0.003;163.607
211604;35;0.01;163.606
211603;31.5;0.007;163.61
211503;39.1;0.019;163.611
211601;37.7;0.017;163.638
211304;32.2;0.005;163.604
211402;27.4;-0.006;163.652
211404;20.2;-0.005;163.612
211502;38.3;0.01;163.631
211504;37.4;0.009;163.604
211602;45.9;0.01;163.609
210304;33.7;-0.002;163.611
210402;42.9;-0.002;163.614
210404;24.3;-0.002;163.613
210502;22.6;0;163.631
210504;35.9;0.002;163.617
210602;36.4;0;163.668
210604;36.8;0.001;163.625
210702;44.2;-0.001;163.61
210802;12.9;0.003;163.612
210704;49.4;-0.002;163.611
210302;32;-0.003;163.614
210801;44.1;0.011;163.61
210703;30.9;0.002;163.616
210701;24.6;0.005;163.611
210603;42.8;-0.002;163.614
210601;67.4;0.008;163.607
210503;29;0.003;163.606
210501;40.3;0.006;163.592
210403;42.4;0;163.587
210401;14;0.001;163.595
210303;36;-0.002;163.598
209802;35.1;-0.011;163.586
209804;19.9;-0.01;163.584
209902;35.7;-0.005;163.654
209904;27;-0.002;163.582
210002;28.3;0.005;163.7
210004;55.3;0.01;163.636
210204;36.2;0.002;163.65
210202;29.8;0.003;163.637
210104;21.7;0.006;163.691
210102;31.2;0.009;163.659
210301;42.5;0.005;163.665
210203;30.2;0.007;163.648
210201;10.1;0.006;163.672
210103;53.7;0.009;163.665
210101;42.8;0.008;163.646
210003;30.4;0.008;163.635
209801;60.7;-0.007;163.733
210001;21.9;0.011;163.702
209803;44.6;0.005;163.63
209903;15.9;0.006;163.641
209901;24.6;0.01;163.627
209704;43.2;0.012;163.681
209702;33.9;0.011;163.651
209604;19.9;0.006;163.716
209602;41.1;-0.004;163.659
209504;24.6;0.008;163.686
209502;59.4;0.007;163.662
209404;39.1;0.014;163.629
209402;15.9;0.013;163.641
209304;57;0.017;163.652
209703;45.6;0.015;163.676
209701;25.5;0.012;163.653
209501;29;0.015;163.729
209303;21.8;0.002;163.712
209603;24.5;-0.011;163.703
209601;32.1;-0.007;163.702
209503;26.7;-0.004;163.675
209403;5.13;-0.002;163.727
209401;30.4;0.006;163.655
209302;29.8;0.002;163.666
209301;38.9;0.01;163.643
209203;50.9;0;163.484
209201;27.7;0.009;163.666
209103;42.5;0;163.619
209101;44.6;0.005;163.64
209003;20.36;-0.001;163.703
209001;25;0.003;163.69
208903;19.8;0.001;163.671
208901;31.4;0.007;163.692
208803;61.7;0.002;163.624
208801;40.4;0.005;163.637
208301;8.9;-0.004;163.563
208802;30.7;-0.002;163.643
208303;25.2;-0.005;163.63
208804;39.6;-0.001;163.64
208401;33.2;0.01;163.625
208403;41.8;0.002;163.642
208501;5.53;0.009;163.731
209204;23.2;-0.004;163.731
208503;17.3;0.003;163.638
208601;50;0.004;163.561
208603;91.3;0.003;163.634
208701;12.1;0.014;163.511
208703;11.6;0.009;163.633
208902;15.9;0.002;163.637
208904;41.9;0.002;163.671
209002;37.1;0.003;163.643
209004;27.4;0.004;163.64
209102;36.8;-0.001;163.709
209104;50.1;0.005;163.636
209202;44;0.004;163.682
208302;37.8;-0.003;163.614
208702;15;0.004;163.648
208704;32;0.003;163.632
208304;33.8;-0.005;163.671
208604;31.8;-0.003;163.63
208602;32.8;-0.001;163.635
208504;14.2;-0.001;163.686
208402;16.9;-0.001;163.624
